+-------------+----------+
|expansion    |asin_count|
|feather      |14352263  |
|sex          |14334327  |
|goth         |14330213  |
|dish         |14318115  |
|regular      |14306137  |
|ultimate     |14305530  |
|charcoal     |14286927  |
|woven        |14283488  |
|eco          |14281564  |
|port         |14278599  |
|italian      |14277258  |
|ruffle       |14275899  |
|4x4          |14233425  |
|hd           |14233233  |
|america      |14231078  |
|lego         |14215660  |
|curved       |14206907  |
|laser        |14203944  |
|polka        |14171087  |
|exterior     |14164667  |
|arch         |14099757  |
|grand        |14095695  |
|device       |14085735  |
|deer         |14081679  |
|pajama       |14062846  |
|am           |14062731  |
|compatible   |14057343  |
|bug          |14050638  |
|barrel       |14042289  |
|cleaning     |14033336  |
|christian    |14010738  |
|towel        |13990002  |
|hp           |13988391  |
|core         |13943963  |
|tote         |13931815  |
|snake        |13925745  |
|dc           |13924212  |
|walking      |13916728  |
|link         |13909716  |
|necklace     |13907966  |
|ribbon       |13904350  |
|bmw          |13891067  |
|tower        |13890093  |
|service      |13869257  |
|cd           |13865657  |
|38           |13860700  |
|tactical     |13848342  |
|cylinder     |13848230  |
|8.5          |13848166  |
|hardware     |13825824  |
|bumper       |13783449  |
|bench        |13771079  |
|spanish      |13768669  |
|gen          |13767169  |
|tablet       |13748285  |
|grill        |13747388  |
|cooler       |13743830  |
|bulb         |13731710  |
|guy          |13724734  |
|3xl          |13700352  |
|overnight    |13675252  |
|her          |13653579  |
|different    |13652755  |
|swing        |13648490  |
|press        |13608002  |
|resin        |13604217  |
|boss         |13600054  |
|friendly     |13587672  |
|tab          |13585442  |
|blend        |13580580  |
|note         |13578173  |
|medical      |13575240  |
|soap         |13562157  |
|secret       |13551404  |
|floating     |13546623  |
|keep         |13543333  |
|lip          |13540680  |
|watt         |13530381  |
|weed         |13526607  |
|crew         |13514542  |
|swivel       |13501245  |
|label        |13499488  |
|interior     |13498941  |
|dust         |13494643  |
|2x           |13491307  |
|candle       |13474193  |
|4.5          |13473803  |
|locking      |13467159  |
|puppy        |13465386  |
|novelty      |13453265  |
|active       |13443327  |
|century      |13429950  |
|sound        |13376139  |
|jordan       |13349224  |
|butter       |13339516  |
|change       |13329776  |
|customized   |13328776  |
|hang         |13310560  |
|beaded       |13307120  |
|6.5          |13294981  |
