pair	label
elderly :: old	2
slimming :: slimmer	2
lot :: fortune	0
18th :: eighteen	0
basin :: washbasin	0
rail :: railing	0
canister :: jar	0
plug :: stopper	2
cosplaylife :: costume	0
macbook :: apple	0
charlie :: snow	0
calling :: call	2
daypack :: backpack	1
girlfriend :: girl	0
advanced :: progressive	2
jogger :: track pant	2
melissa :: melisa	1
bleached :: coloured	0
diaper :: diper	1
connection :: connexion	2
stage :: degree	0
limited :: special	0
high :: stoned	0
minute :: min	0
command :: control	0
catnip :: cat	0
pouf :: poof	0
gasoline :: petrol	2
melissa :: mellisa	1
quickly :: quick	2
tanjirou cosplay :: tanjiro	0
ladybug :: ladybird	0
brush :: cepillo	0
record :: book	0
entire :: full	0
trekking :: hiking	2
measure :: measurer	2
solar :: solare	1
lollipop :: sucker	2
phone :: telephone	2
getting :: get	0
clutch :: clasp	0
craft :: trade	0
rouge :: blush	0
kitty :: cat	2
store :: fund	0
stranger :: alien	0
positive :: motivation	0
aid :: grid	0
incense :: incienso	2
arc :: bow	0
travel :: travelling	2
flexvolt :: dewalt	0
eyebrow :: brow	1
reusable :: reuseable	2
eleventh :: 11	0
mask :: mascarilla	0
modeling :: modelling	1
whisky :: whiskey	2
shield :: sheild	1
motorcycle :: motorcyle	1
kitchen :: kichen	1
xxxl :: xxl	0
tropical :: tropic	2
cleanser :: cleansing	2
groove :: track	0
fashionable :: trendy	2
clothe :: apparel	2
bra :: clothing	0
cheerleader :: cheerleading	2
subwoofer :: woofer	0
hoodie :: kangaroo	0
classic :: classical	0
perfect :: flawless	2
fragrance :: scent	2
steamer :: cooker	1
tablet :: tableta	2
fashionable :: fashion	2
biking :: bicycle	0
garbage :: trash	2
moisturizer :: moisturiser	2
beginner :: rookie	0
bassinet :: baby	0
eyelet :: eye	0
lunch :: lunchbox	0
bouncing :: bounce	2
thermal :: thermic	0
xxl :: xxxl	0
buffet :: cabinet	0
grandparent :: grandpa	0
wallet :: pocketbook	0
angled :: bent	0
refrigerator :: refrigerador	2
colorful :: colourful	2
native :: aboriginal	0
luggage :: suitcase	2
bedsheet :: sheet	2
grandpa :: grampa	2
tight :: close	0
sixth :: 6th	2
scraper :: scrapper	1
cartoon duvet :: bed	0
hitting :: hit	2
function :: role	0
stop :: halt	0
1990 :: 90	0
pedal :: peddle	1
protect :: protector	9
cardigan :: cardi	1
clothing :: wear	0
customizable :: customized	0
stomach :: belly	2
shampoo :: hair	0
projection :: projector	0
cooking :: cuisine	2
motorbike :: motorcycle	2
sticky :: adhesive	2
brother :: br	0
acadamia :: academia	0
funny :: queer	0
mold :: molding	0
zomby :: zombie	0
friend :: supporter	0
newborn :: baby	2
cycling :: bike	0
skeleton :: halloween	0
classic :: comic	0
holder :: bearer	0
telescoping :: telescopic	0
dress :: frock	0
beanie :: benny	0
papa :: daddy	2
wound :: hurt	2
transparent :: crystalline	0
aussie :: oz	0
moon :: moonlight	0
forty :: 40s	0
amp :: amplifier	2
resistant :: repellent	2
display touchscreen :: screen	0
away :: out	0
bark :: skin	0
rounded :: round	2
press :: pressing	0
pjs :: pyjama	2
charcoal :: charcol	0
chilli :: chili	0
asian :: oriental	2
fish :: rifle	0
abdomen :: tummy	2
opaque :: cloud	0
necktie :: tie	2
quilting :: quilt	0
light :: ligt	1
stamper :: stamp	0
fidget :: jitter	0
llama :: lama	1
nipple :: niple	1
doll :: dolly	0
network :: internet	0
grandpa :: grandfather	2
flare :: flair	0
grade :: grad	0
fender :: wing	0
peel :: skin	0
armor :: horn	0
accessorie :: accessory	2
kayak :: kyak	1
vision :: sight	0
hook :: snare	0
chili :: chile	0
organization :: organiser	0
mild :: soft	0
candelabrum :: candelabra	2
saxophone :: sax	2
mind :: brain	2
gratitude :: appreciation	0
supplement :: suplement	1
thirteen :: 13	0
detangler :: detangling	2
licorice :: liquorice	2
eternal :: everlasting	2
spice :: zest	0
tuxedo :: tux	2
tunnel :: tunel	1
fujifilm :: fuji	0
toupee :: wig	2
cozy :: snug	2
celebration :: fiesta	2
inspirational :: motivational	2
diaper :: disper	1
straightening :: straighten	2
calendar :: agenda	0
polishing :: polisher	2
ice cream :: icecream	2
protein :: proteina	2
ii :: iii	0
freezer :: cooler	0
coil :: curl	0
connection :: connecter	0
wizard :: magician	0
removal :: move	0
barn :: outdoor	0
bearing :: bering	1
fuse :: littlefuse	0
foodsaver :: food	0
cute :: pretty	2
floral :: flower	2
backpacking :: camping	2
ottoman :: pouffe	2
arrow :: arc	0
hatchback :: hatch	0
app :: appstore	0
pal :: friend	2
supporting :: support	2
magnifying :: magnifier	2
coverup :: cover	0
metallic :: metal	0
mommy :: mother	2
curtain :: cutain	1
jogging :: jogger	0
electric :: electrico	1
legend :: hero	0
teether :: teething	2
measuring :: mesuring	1
i :: 1	0
cocktail :: coctail	1
valentine :: valentin	1
count :: number	0
allen :: allan	0
volume :: vol	0
surgery :: operation	0
polaroid :: instant	0
chronicle :: history	0
pallet :: palette	1
drip :: dripping	0
casting :: cast	0
waistband :: girdle	0
alphabet :: abc	2
girl :: miss	0
swaddle :: swaddler	2
rectangle :: rectangular	2
ssd :: drive	0
broad :: full	0
keto :: ketosis	2
cooker :: cooking	0
man :: male	2
trouser :: pocket	0
drawing :: sketching	2
trio :: three	0
carb :: carbohydrate	2
strong :: hard	0
coloring :: colouring	2
tablecloth :: table cloth	2
lighting :: light	0
eating :: feeding	0
sack :: bag	2
bandana :: bandanna	1
float :: swim	0
sister :: nun	0
2001 :: 01	0
electric :: power	0
step :: stair	2
oil :: petroleum	0
product :: merchandise	0
killer :: kill	2
knitted :: knit	0
8th :: eighth	2
coffin :: casket	0
radio :: tuner	0
bolster :: pad	0
calendar :: calandar	1
cycling :: bicicleta	0
quadcopter :: helicopter	0
fast :: tight	0
crimping :: crimper	2
nexus :: link	0
harvest :: crop	0
lavatory :: washbasin	0
relieve :: reliever	2
thirty :: 30s	0
dewalt :: dwalt	1
use :: employment	0
spiral :: helix	2
grill :: grille	1
learn :: learning	2
pressure :: presure	1
station :: post	0
notepad :: notebook	0
seventh :: seven	0
happiness :: pleasure	0
background :: ground	0
meter :: medidor	0
cutlery :: cubierto	0
mitt :: mit	1
organization :: organizing	0
earmuff :: muff	0
tow :: towing	2
rechargeble :: rechargeable	0
infant :: bebe	2
cuff :: handcuff	0
slice :: piece	0
mom :: mommy	2
bowtie :: tie	1
lovely :: pretty	2
projection :: project	0
4 :: 4th	0
apparel :: clothing	2
cable :: cabel	1
attorney :: lawyer	2
exfoliating :: exfoliant	2
inner :: interior	0
dad :: papa	2
nickel :: nickle	1
tire :: tyre	2
grilling :: barbecue	2
thing :: stuff	0
cummerbund :: cumberbund	1
shop :: store	1
well :: good	0
cabin :: cell	0
pajama :: pijama	2
door :: doorway	0
dies :: die	0
climbing :: climber	2
throw :: blanket	0
attractive :: magnetic	0
lasting :: permanent	0
lipstick :: matte	0
person :: people	2
turn :: turning	0
crossbody :: handbag	0
coffee :: coffer	0
stove :: stovetop	2
hoop :: basket	0
edible :: food	0
underwear :: underclothing	2
drain :: drainage	0
family :: house	0
beast :: animal	0
bluetooth :: bluethooth	1
herb :: grass	0
dancer :: dance	2
knife :: knif	1
comfortable :: safe	0
junior :: jr	2
miner pixelated :: minecraft	0
coco :: coconut	0
infrared :: infared	1
bicycle :: bycicle	1
hand writing :: handwriting	2
beach :: strand	0
study :: learn	2
sucker :: lollipop	2
pillowcase :: pillow case	2
ultimate :: edition	0
humidity :: humidistat	0
stretchable :: elastic	0
vinyl :: wax	0
elastic :: stretchable	1
abc :: basic	0
dresser :: vanity	0
flavoring :: flavouring	2
jewelry :: jewery	1
dangle :: dangling	0
medicine :: medicament	2
tableware :: flatware	2
lawn :: yard	2
lampshade light :: lamp	0
17 :: seventeen	0
washing :: laundry	0
protect :: protection	0
gymnastic :: gymnast	2
mirror :: miror	1
gemstone :: stone	0
converter :: stb	0
teddiursa :: pokemon	0
6 :: vi	0
radio :: wireless	0
thickness :: density	0
jamaica :: jamaican	2
floral :: flowered	2
solder :: soldering	1
tracksuit :: sweatsuit	2
husband :: wife	0
workplace :: work	0
ballpoint :: ballpen	0
bathrobe :: robe	2
inner :: internal	0
night :: nighttime	2
colander :: strainer	2
rechargeable :: recargable	1
naked :: bare	0
yr :: year	0
gummy :: gummie	1
nursery :: bunny	0
swimsuit :: swimdress	0
eyeball :: eye	0
3rd :: 3	0
health :: wellness	0
vest :: waistcoat	2
build :: building	0
2006 :: 06	0
rich :: deep	0
sole :: only	0
sand :: sandpaper	0
sensor :: detector	2
cupboard :: pantry	0
auger :: snake	0
basin :: sink	0
polarizer :: polarizing	2
controller :: driver	0
workbook :: worksheet	0
movement :: motion	0
heater :: warmer	2
woodworking :: carpentry	0
present :: gift	2
scissor :: sizzor	1
tier :: stage	0
comfy :: comfortable	2
socket :: outlet	2
flavour :: flavouring	2
speedometer :: tachometer	0
bad :: spoiled	0
colorful :: colored	2
duffel :: duffle	1
slant :: angle	0
singlet :: undershirt	0
box :: corner	0
dad :: pop	0
packing :: boxing	2
stadium :: arena	2
guard :: gaurd	1
toenail :: fingernail	2
aerial :: antenna	0
heartbeat :: pulse	2
production :: make	0
collar :: leash	0
mypakage :: package	0
shin :: tibia	0
backpack :: bagpack	1
09 :: 9	0
piping :: pipe	2
alien :: stranger	0
purse :: bag	1
buttoned :: button	0
litter :: trash	2
dessert :: sweet	0
allergy :: intolerance	0
ix :: 9	0
safety :: saftey	1
whitening :: lightening	0
deodorant :: deorderant	1
surf :: surfer	2
marker :: marcadore	1
silverware :: cutlery	2
06 :: 6	0
sharpie :: sharpy	1
sphere :: orbit	0
ruler :: rule	0
robotic :: robit	1
barbecue :: barbeque	2
daughter :: girl	0
spotlight :: spot light	2
watch :: wristwatch	0
double :: image	0
duty :: tax	0
bottle :: botella	2
detangling :: detangle	2
helix :: spiral	2
sequined :: sequin	0
carabiner :: biner	2
organization :: system	0
motorcycle :: motorbike	2
gamer :: gaming	2
courtyard :: yard	0
animated :: kinetic	0
fingernail :: toenail	0
nail :: toenail	0
collar :: colar	1
conference :: talk	0
ginkgo :: gingko	1
educational :: learning	2
telescopic :: telescoping	0
sandal :: sandalia	1
moccasin :: mocassin	1
volume :: book	0
syrup :: syrop	1
swimming :: swimmer	2
clutch :: cluch	1
lte :: wifi	0
fill :: filling	0
wash cloth :: wipe	0
jogger :: tracksuit	2
cursive :: italic	0
sparkle :: sparkly	2
chalkboard :: blackboard	2
room :: chamber	2
dried :: dehydrated	1
two :: ii	0
pound :: lb	2
mountain :: mount	0
fix :: repair	2
laundry :: wash	2
maternity :: motherhood	0
rabbit :: bunny	2
mortar :: motar	1
may :: can	0
happy :: cheerful	0
ca :: crap	0
diaper :: baby	0
purse :: crossbody	0
keychain :: keyring	2
conditioner :: shampoo	0
vacation :: holiday	0
candlestick :: candelabrum	0
coupler :: coupling	0
finder :: viewfinder	0
curtain :: drapery	2
sealing :: waterproofing	0
nightie :: nighty	2
sight :: view	0
fifty :: 50	0
lacquer :: varnish	2
bandage :: patch	0
converter :: convertidor	2
fob :: keyfob	2
sight :: vision	9
magnetic :: attractive	0
parfum :: perfume	2
stuff :: block	0
jumpsuit :: romper	2
8 :: eighth	0
cellophane :: celofan	1
wireless :: wirless	1
earphone :: headphone	0
italian :: italy	2
greatest :: prime	0
feeling :: aura	0
silverware :: flatware	2
mask :: masquerade	0
elevated :: raised	2
tailcoat :: costume	0
smoky :: smokey	1
cane :: candy	0
lgbt :: lgbtq	2
trainer :: shoe	1
cooktop :: range	0
saree :: sari	2
couch :: sofa	2
sound :: audio	2
movie :: film	0
anxiety :: care	0
thermo :: termo	1
incense :: incent	1
wave :: waving	0
appreciation :: gratitude	2
nipple :: teat	2
dawn :: sunrise	2
hole :: hollow	0
thread :: string	0
pup :: dog	2
80 :: eighty	0
napoleon :: napolean	1
compost :: composting	0
pen :: write	0
original :: initial	0
12th :: 12	0
santa :: christma	0
amp :: ampere	2
woman :: mujer	0
hd :: hdd	0
seat :: sit	0
kundan :: jewellery	0
raincoat :: coat	1
carhartt :: carharrt	1
lover :: fan	9
toss :: flip	0
building :: edifice	0
armchair :: chair	1
cassette :: tape	0
farm :: station	0
strand :: beach	0
first :: 1st	2
holdback :: tieback	0
carburetor :: carburettor	1
mama :: mamma	2
vs :: versus	2
relief :: relaxium	0
top :: peak	0
sewing :: needlework	0
tableware :: dinnerware	2
catalytic :: catalitic	1
galaxy :: gaxaly	1
war :: battle	0
refrigerator :: frigidaire	0
defense :: defence	2
gardening :: garden	2
catcher :: bottom	0
parasol :: sunshade	1
dot :: dit	0
friend :: ally	0
botte :: boot	2
everything :: thing	0
leg :: branch	0
dirt :: soil	2
player :: actor	0
basic :: working	0
hairpiece :: wig	2
exquisite :: beautiful	2
waiter :: server	2
glue :: adhesive	1
grandma :: grandparent	1
diabetic :: diabete	1
discipline :: study	0
pumpkin :: pumkin	1
repellent :: repellant	1
vampire :: nosferatu	0
sticker :: stiker	0
towel :: toalla	1
army :: military	1
beetle :: bug	1
larger :: large	0
board :: bord	1
personalized :: customized	2
blond :: blonde	2
kicking :: kick	2
kitchen :: cuisine	1
02 :: 2	0
day bed :: daybed	1
footrest :: footstool	2
chew :: chewable	0
jungle :: rainforest	2
basswood :: linden	0
halloween :: holloween	1
model :: modelling	0
tank :: tanktop	0
bowtie :: bowty	1
animated :: bright	0
charming :: nice	0
makeup :: cosmetic	2
sprayer :: atomizer	0
princess :: princesa	1
european :: continental	0
sale :: deal	0
sleeve :: sleve	1
shower :: showe	0
fitness :: beauty	0
flying :: flight	2
shawl :: shemagh	0
duffle :: duffel	2
headache :: migrane	2
playstation :: ps	1
petroleum :: oil	1
fortune :: fate	0
lolly :: lollipop	2
riflescope :: scope	1
sticky :: stick	0
old :: previous	0
gimbal :: gimble	1
sunset :: end	0
retirement :: retiring	2
angle :: fish	0
jesus :: christ	2
camouflage :: camo	2
15th :: 15	0
edition :: version	0
petticoat :: underskirt	2
go :: function	0
global :: worldwide	2
engine :: motor	2
senior :: elder	2
tummy :: abdomen	2
waving :: wave	0
musical :: music	0
laser :: lazer	1
pure :: sheer	0
watercolour :: watercolor	2
headache :: headach	1
hinge :: joint	0
powerlifting :: weightlifting	2
hand :: pass	0
fastener :: fixing	0
hawaii :: hawaiian	2
lbs :: lb	0
angle :: slant	0
bench :: workbench	0
cam :: camera	0
clog :: shoe	1
flashlight :: light	1
costume :: halloween	0
pool :: puddle	0
peanut :: goober	2
onesie :: romper	2
perfume :: cologne	2
live :: alive	2
shoe :: footwear	1
snowman :: snowmen	2
vanity :: dresser	0
decoration :: decorativa	1
fuse :: fuze	1
backpack :: rucksack	2
mukluk :: boot	0
cowgirl :: woman	1
snug :: cosy	2
major :: royal	0
antiperspirant :: deodorant	2
cougar :: puma	2
driver :: controller	0
stairway :: staircase	2
license :: licence	1
cellphone :: celular	0
lubricant :: lube	2
mannequin :: manikin	1
automotive :: automobile	2
xxl :: xxxxl	0
co2 :: c02	0
handsome :: beautiful	0
magnesium :: magnesio	0
gift :: give	0
thickness :: layer	0
spray :: spraying	0
knitting :: knitter	2
paw :: daddy	0
buffer :: buff	0
mickey :: disney	1
underwear :: underware	1
officejet :: deskjet	0
protector :: protectore	1
leveling :: levelling	1
letter :: letra	0
road :: route	0
tubing :: tube	2
laboratory :: lab	2
chrome :: crome	1
blanket :: cover	0
embroidery :: embroider	0
omelet :: omelette	2
shelf :: shelving	2
audio lab :: audiolab	2
water :: wayer	1
hairdresser :: hairstylist	2
zag :: zigzag	0
thermometer :: termometro	2
c :: carbon	0
leash :: tether	0
925 :: silver	0
60s :: sixty	0
blossom :: flower	2
sensitive :: tender	0
warming :: heating	2
meter :: metre	2
moulding :: molding	2
oz :: wonderland	0
essential :: essence	0
transmitter :: sender	0
organic :: organix	1
balloon :: baloon	1
protein :: protien	1
slipper :: footwear	1
infinity :: eternity	0
backpacking :: hiking	2
nut :: addict	0
catcher :: dreamcatcher	0
vapor :: gas	0
dachshund :: daschund	1
long sleeve :: longsleeve	2
grandparent :: grandma	0
waterproof :: raincoat	0
liquid :: fluid	2
gloss :: polish	0
apocalypse :: doomsday	0
cobweb :: spiderweb	2
arabic :: arabian	1
mattress :: matress	1
shirt :: shrit	1
practice :: drill	2
weber :: webber	1
first :: beginning	0
preschool :: preschooler	0
hanger :: hangar	2
stitch :: stich	1
pregnancy :: pregnant	2
rope :: lasso	0
pointed :: pointy	2
alternative :: option	0
dance :: dancing	2
exercise :: exercising	2
ski :: skii	1
sleepshirt :: nightshirt	2
vitamin :: multivitamin	0
learning :: knowledge	0
glow :: glowing	2
leather :: lether	1
saber :: sabre	2
preschool :: kid	0
palace :: castle	0
grille :: grill	0
surf :: surfboard	0
mannequin :: maniquin	1
twinkle :: sparkle	0
diffuser :: defuser	0
knob :: nob	1
life :: living	0
english :: side	0
sled :: toboggan	0
handmade :: handcrafted	2
friendship :: relationship	1
tag :: label	0
bbq :: grilling	2
roselia :: pokemon	0
no gluten :: gluten free	2
mail :: post	0
backseat :: seat	0
road :: street	2
photo :: foto	1
mug :: cup	1
1950 :: 50	0
electrical :: power	0
onesy :: onesie	2
goggle :: google	0
purse :: wrinkle	0
organizer secondary :: accessory	0
iii :: 3	0
baselayer :: underlayer	2
one :: 1st	0
long :: extended	0
bike :: bicicleta	2
anklet :: bracelet	0
personal :: private	0
duck :: dip	0
cook :: cooking	2
pullover :: sweatshirt	0
theater :: theatre	2
wax :: polish	0
semi :: half	0
vacuum :: vaccum	1
alarm :: alert	2
organize :: organization	0
expert :: perfect	0
pistol :: rifle	0
dinning :: dining	0
elevator :: lift	2
frame :: fram	1
knife :: knofe	1
triple :: trio	0
twine :: rope	0
texture :: relief	0
surfing :: surfer	2
guinness :: guiness	1
rechargeable :: recharable	1
learning :: learn	2
bright :: smart	0
jumpsuit :: playsuit	0
maximum :: max	2
divider :: splitter	2
outside :: outdoor	2
assorted :: variety	2
spray :: spritz	0
cleaner :: cleanser	2
cooktop :: hob	2
depth :: thickness	0
jogger :: sweatpant	2
sparkly :: sparkle	2
winter :: invierno	0
baby :: babe	2
4th :: four	0
